global_order	class_order	row_id	lexical_item	counterpart	proto	proto_stage	protoform	protoform_stage	derivation_class	class_bucket	section_title	model_entry_path	trace_match_status	trace_match_basis	notes
1	1	1933	adder	nǣdre	*nḗdrōn	pgmc	*nḗdrōn	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
2	2	1934	bake	bacan	*bákaną	pgmc	*bákaną	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
3	3	1942	beech	bōc	*bōkō	pgmc	*bōkō	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
4	4	1943	begin	beġinnan	*bigínnaną	pgmc	*bigínnaną	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
5	5	1949	bier	bǣr	*bḗrō	pgmc	*bḗrō	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/1949-bier-bǣr.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
6	6	1951	birth	byrd	*búrdiz	pgmc	*búrdiz	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/1951-birth-byrd.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
7	7	1954	bone	bān	*báiną	pgmc	*báiną	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/1954-bone-bān.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
8	8	1958	both	bū	*bō	pgmc	*bō	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
9	9	1961	bow	bīeġan	*báugijaną	pgmc	*báugijaną	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/1961-bow-bīeġan.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
10	10	1969	breeches	brēċ	*brōkiz	pgmc	*brōkiz	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/1969-breeches-brēċ.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
